Tweet Text,# number,Medical relevance,X,Does X cause cancer 
"When people look at me funny and ask why I won’t eat anything but  animal products.   I tell them that grains, seed oils and sugar cause cancer, heart disease, and diabetes.   Why would I want to eat something I know was killing me and is killing you.",18,yes,"grain, seed and oils",yes
Brain tumours are the chief cause of cancer deaths in children and young people. Please see our latest report for more about these shocking statistics: https://t.co/Bkk6UEJhNl https://t.co/LfaAIk7E07,18,yes,brain tumor,yes
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    FDA banned the buying and selling of most flavored cigarettes including cloves because it makes cigarettes more enticing to young people.",18,yes,tobacco,yes
"What is even more astonishing is that @One_Angry_Chef appears to be the nutrition expert for @newscientist magazine where he promotes the low fat, plant-based high sugar processed food healthy diet in moderation. Also keen to state that ""no evidence that sugar causes cancer etc"". https://t.co/FSQWj1l3Cc More devastating knives in my heart.   Apparently I say that fruit and vegetables are good things to eat and sugar doesn't cause cancer.   The shame. https://t.co/un7Asyt0Z4",18,yes,sugar,no
"@neenadhir30 @ImKasam_Insha @derasachasauda @Gurmeetramrahim @DeviCha10252393 @ImSuresh_insan @ImVicky_insan @AmitSony66406 @MalaRani14 @Ravinde06501449 @Sudhainsan18 @ImPoojaInsan @sanjuinsan161 @Rajwind09809291 @RekhaIn62705258 @JpBairwa_7 Non-veg food is the cause of hundreds of diseases, it weakens our bones, it makes our behavior/nature wild, it also causes cancer and nervous diseases, causes food shortage etc. We must follow vegetarianism #GoVeganAndBeHealthy @Gurmeetramrahim @derasachasauda https://t.co/NDsRPmUUtB",18,yes,non-veg food,yes
Lung #cancer is the leading cause of cancer death in both men and women. Key points to prevent this disease. #lcsm https://t.co/SqgjDKmnMt https://t.co/ZJjDMDkPbl,18,no,none,none
"The ""cigarette lobby"" was ""successful"" linking ""being sexy"", ""being cool"" with smoking cigarettes. This was successful only in as much as a lie might be.   The TRUTH is, now smoking cause #COPD and #CANCER - that's the truth..  Follow @COPDFoundation  Retweet for others to view. https://t.co/BBl0lymiDw",18,yes,smoking,yes
"Our genetic counselors are helping patients plan for prevention by identifying issues that can cause cancer, including #LynchSyndrome. It's one of the ways #TheJames and @OSUWexMed are leading the way toward a cancer-free world. Learn more: https://t.co/RVcl8qe7Gs https://t.co/Q4gN4p9fdL",18,no,none,none
"What is even more astonishing is that @One_Angry_Chef appears to be the nutrition expert for @newscientist magazine where he promotes the low fat, plant-based high sugar processed food healthy diet in moderation. Also keen to state that ""no evidence that sugar causes cancer etc"". https://t.co/FSQWj1l3Cc More devastating knives in my heart.   Apparently I say that fruit and vegetables are good things to eat and sugar doesn't cause cancer.   The shame. https://t.co/un7Asyt0Z4",18,yes,sugar,no
"@isitabane @WonderBoy_17 @Ryanmorehouse00 Living causes cancer, more or less. I’m including a intro video on what cancer is (kinda, it’s more complicated than that). Life is really complicated, and things go wrong that our bodies can’t recover from, no matter how well we care for them.   https://t.co/teOnOQ4sfy",18,no,none,none
"@neenadhir30 @ImKasam_Insha @derasachasauda @Gurmeetramrahim @DeviCha10252393 @ImSuresh_insan @ImVicky_insan @AmitSony66406 @MalaRani14 @Ravinde06501449 @Sudhainsan18 @ImPoojaInsan @sanjuinsan161 @Rajwind09809291 @RekhaIn62705258 @JpBairwa_7 Non-veg food is the cause of hundreds of diseases, it weakens our bones, it makes our behavior/nature wild, it also causes cancer and nervous diseases, causes food shortage etc. We must follow vegetarianism #GoVeganAndBeHealthy @Gurmeetramrahim @derasachasauda https://t.co/NDsRPmUUtB",18,yes,non-veg food,yes
"RT @pleg4life: Smokeless tobacco can cause gum disease, tooth decay, tooth loss and cancer.",17,yes,tobacco,yes
As you sip your daily: Coffee Tea Yerba Mate Green Tea Coco Cola Pepsi Dr. Pepper Mountain Dew etc.  Remember you are sipping CAFFEINE and it is the 3rd leading cause of  cancer on Earth.  Enjoy your beverage.  #rogerbezanis https://t.co/jIZAtgTWwK,17,yes,caffeine,yes
"Advice for candelas kids: if your parents ever get mad at you because juuling could potentially cause cancer, just tell them that the $500k house they just bought next to a retired nuclear weapons facility is a much more dangerous and fiscally irresponsible form of getting cancer",17,yes,juuling,no
"👏@StanPetrov19 “I’ve been involved in a few charity games at Celtic Park and every one of them has been a wonderful and uplifting experience."" https://t.co/qr3CYpcDXU ICYMI: @StanPetrov19  ""The supporters never fail to get behind the cause and I believe this one will be particularly close to their hearts as we aim to challenge cancer."" https://t.co/zsOC87O3oP",17,no,none,none
"A brother and sister received the same cancer diagnosis within a week, and their parents want to let the public know because the cause is thought to be genetic. https://t.co/a2ctuhpk8I",17,yes,genetic reason,yes
"Regardless of your overall weight, having a large amount of belly fat increases your risk of:  Cardiovascular disease  Insulin resistance and type 2 diabetes  Colorectal cancer  Sleep apnea  Premature death from any cause  High blood pressure. #NiBurden https://t.co/7ucFcCxeIp",17,yes,obesity,yes
"3 weeks ago, two  papers, and the news reports that followed, caused a short-lived scare that #CRISPR causes cancer. This wasn't the first CRISPR scare, and it won't be the last. My @cenmag story on the problem: https://t.co/lWOjv1SLvu with @SangamoTx @CRISPRTX @intelliatweets",17,yes,CRISPR,yes
"Smoking continues to be the biggest preventable cause of cancer. This important and timely report from the @RCPLondon sets out why the NHS must tackle #smoking head on if we are to ever achieve a smoke-free generation. https://t.co/Vp8O9dkpqH £890m, the recurrent avoidable secondary care costs of smokers in England. Today we publish Hiding in plain sight, calling for a radical change in the way the #NHS treats smokers in hospital #IMed2018 #smokingcessation https://t.co/8w1ukDBBQf https://t.co/Z5C6D00Vpq",16,yes,smoking,yes
Coal Mines spread toxic dust that can cause Athsma &amp; Cancer. We don't need any more dirty coal mines! Renewable energy which is clean and much cheaper! #NoNewCoal ! #auspol  This Mackay Citizen is very concerned about more coal mines + does not want a coal power station ! https://t.co/6FohwlFVl9,16,yes,toxic dust,yes
"Viral hepatitis infection is the leading cause of liver cancer. Join #NOhep today to eliminiate this deadly disease and help prevent 300,000 cancer deaths a year! #LetsDoThis https://t.co/PCTmU8eeSt",16,yes,viral hepatitis,yes
We are pleased that the Scottish Government has launched its ambitious diet and healthy weight plan. Obesity is the biggest preventable cause of cancer after smoking and so bold action is needed. #ScaleDownCancer https://t.co/fMN2vcQRfu,16,yes,obesity,yes
"My heart breaks for Alex and her Family along with the MSU community.   @geauxteal has always been a cause so close to LSU’s heart for people just like her. I pray for comfort for all those feeling the weight of this tragic loss 💙 https://t.co/tITbSp8wzU Our hearts are heavy as we lost @Alex_wilcox8 tonight after her long and courageous battle with ovarian cancer.  She did not lose her battle, but fought every day with a bright smile and inspired all that knew her story.  #NoOneFightsAlone   https://t.co/gexTYyye9r",16,no,none,none
Lung #cancer is the leading cause of cancer death in both men and women. Key points to prevent this disease. #lcsm https://t.co/SqgjDK4MUV https://t.co/S2BCK0USPk,16,no,none,none
"What was Satan's downfall? Pride.   Pride is the root cause of all other sin.  The greatest sin.  It infects like a cancer and if untreated will lead to death.  Why?  Because a person can't come to Jesus for salvation in pride.  The cure is humility in large doses daily, forever.",16,no,none,none
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    Possession or selling of a baby walker in Canada can result in fines of up to $100,000 or six months in jail.",16,yes,tobacco,yes
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    Chicago's Little Village Academy banned homemade lunches in 2011.",15,yes,tobacco,yes
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    It is illegal to whitsle in Petrolia, Canada.",15,yes,tobacco,yes
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    Anonymous blogs with over 3,000 daily visitors are banned in Russia.",15,yes,tobacco,yes
"When Drake said,   “WARNING: This product contains chemicals known to the State of California to cause cancer and birth defects or other reproductive harm.”   I hope you all caught that.  😔",15,yes,chemical,yes
"The @JewishLabour movement never condemn Apartheid Israel. The clue is in their real name, Poale Zion. They conflate antisemitism with Anti Zionism. So why the hell should they have any say on what is antisemitic ? And why are they taken seriously ? @JennieGenSec @jeremycorbyn https://t.co/irjLhtcDkF Israel blockading #Gaza ,ok we know that , Israel Murdering #Palestinians Nr the fence ,Ya we saw that , But Israel Now started agriculture war uses chemicals to kill crops &amp; Poisen Palestinians in Gaza,to cause them Cancer ,Thats Evilness work  https://t.co/86jXzE63HR",15,no,none,none
"Unforgiveness is a major root cause of depression. Unforgiveness eats at your soul like cancer burrowing you deeper into depression. When we don’t choose to forgive, all our other relationships will be contaminated by our bitterness, and we will inevitably hurt those we love most",15,no,none,none
Did you know prostate cancer is the second most common cause of cancer death of men in the UK and that more men die of prostate cancer than women of breast cancer. @ProstateCymru are aiming to raise awareness of some of the common symptoms of prostate disease https://t.co/aCfLu3eSUZ,15,no,none,none
"Prostate cancer is the most common &amp; 2nd leading cause of cancer death among men in the US. Prostate cancer usually grows very slowly, and finding and treating it before symptoms occur may not improve men's health or help them live longer. https://t.co/tIuXtAHpMi https://t.co/Bw0r6dy7Nl",15,no,none,none
"“Respirators given to workers were insufficient for the level of exposure, and a high-risk violation…Silica dust can cause silicosis, a serious and irreversible lung disease, as well as lung cancer.” #sitec @SavePeaceValley https://t.co/T4aDQ6Efnq",15,yes,silica dust,yes
